ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,pnl,R_multiple,bars_held
TSLA,short,2016-11-02,2016-12-13,12.6636650762558,13.289999961853027,1233.9429219767378,-784.2635836901214,-0.5318440903358518,41
JPM,long,2016-11-08,2017-01-17,54.010274742801066,65.20593857165063,542.3663870308559,6048.003099918063,4.814164967582423,70
NVDA,long,2016-11-14,2017-02-23,2.1645995590375318,2.5775264898508476,6807.157252811989,2798.857698124662,1.8737683677917767,101
TSLA,long,2016-12-28,2017-02-27,14.776051554679869,16.47333335876465,1329.5148586688229,2241.4559549861306,1.4461216836044914,61
NFLX,long,2016-10-19,2017-03-03,11.830912309169769,13.904999732971191,1424.245184043207,2940.4415353035574,1.9649029687355966,135
CSCO,long,2017-02-27,2017-03-27,25.864806113433904,25.526931282197026,1288.8582164081824,-458.54671621833637,-0.3634373177924649,28
HD,long,2016-12-12,2017-04-13,105.69732910865174,116.51457730647783,285.1347755802515,3061.4264241502733,2.1532685185753215,122
PEP,long,2017-03-29,2017-04-26,84.31880299030553,83.74269889187042,400.25869243966747,-254.07685242796558,-0.2983039576419115,28
DIS,long,2016-12-09,2017-05-03,96.13574357354774,104.02615584489395,315.0100224797495,2462.86900568213,2.1448286373188927,145
TSLA,long,2017-04-04,2017-05-04,19.802563722610472,19.606666564941406,1104.0591241261855,-231.4565158996559,-0.13711180377201035,30
AAPL,long,2017-01-18,2017-06-09,27.620768403204384,34.7340916159149,1136.354616807744,8056.4368276187915,6.746378392810004,142
CRM,long,2017-05-03,2017-06-09,85.53371078768437,84.9699850102801,398.7109429700937,-248.50103664235758,-0.2003893299069514,37
META,long,2017-06-09,2017-06-12,153.49940230456127,146.88015804135935,231.0933155451899,-1553.5761853938336,-1.2114434637820255,3
NVDA,long,2017-05-11,2017-07-03,2.958083204921993,3.503586338103481,7027.150603634253,3816.48184469235,2.2181093182973046,53
TSLA,long,2017-06-09,2017-07-05,24.973812987327573,23.08862060349906,940.353850295004,-1788.1232227693786,-1.0086731485874272,26
KO,long,2017-04-13,2017-07-06,32.195756503910296,33.75599428721209,1046.9871956045947,1608.972870458067,2.0191531384284334,84
JNJ,long,2017-06-12,2017-07-11,102.80463012307513,102.51886528255197,339.86099416784964,-121.51954926381862,-0.13165275055664602,29
NFLX,long,2017-07-19,2017-08-10,18.30614938545227,16.88896401752854,1240.0937952297045,-1772.2792553708834,-1.0084420807749301,22
ADBE,long,2017-04-26,2017-08-11,133.56674999999998,144.27999877929688,254.9054005313802,2705.393631961849,2.352559343027327,107
JPM,long,2017-07-05,2017-08-17,73.37596978676083,71.29158641407737,474.13153683549984,-1012.0318316349197,-0.6456258623626351,43
META,long,2017-07-13,2017-08-29,157.43684331295884,163.81149866184828,213.19187069843048,1334.7143054682401,0.767258446829068,47
AAPL,long,2017-08-16,2017-09-20,37.73795814906169,36.77810091676466,914.8619298785673,-901.7774726985443,-0.5117546444004316,35
ADBE,long,2017-08-17,2017-09-20,151.7358336639404,149.1699981689453,228.99534168271623,-611.5345966052873,-0.3701230453442792,34
CRM,long,2017-09-01,2017-09-25,94.1687081434825,90.92691531299056,373.9335246548943,-1236.1366761590389,-0.7440065630537911,24
TSLA,long,2017-09-15,2017-09-25,24.979816506385802,22.89524088007264,839.6259219559533,-1763.8951649159437,-1.007788216447392,10
HD,long,2017-09-29,2017-11-02,131.32265104344893,130.45737586298767,260.84498043765393,-249.54566394780528,-0.20114694576813671,34
NFLX,long,2017-10-06,2017-11-09,19.439715305328367,19.10300064086914,1249.6485891280474,-437.52750934001574,-0.2533225293085892,34
XOM,long,2017-09-28,2017-11-15,55.374343443582035,55.60432054339099,616.2628216047548,117.75369623634883,0.1375212985244898,48
V,long,2017-07-17,2017-11-29,91.23136179660261,102.1954517273434,381.3172966937197,4153.936987439272,3.5777306937711795,135
META,long,2017-11-02,2017-11-29,179.14712217775926,174.8644145602232,195.63721730487183,-861.8877777543603,-0.5458131979561461,27
NVDA,long,2017-11-13,2017-11-29,5.336085686190729,4.957437731819896,4586.205719402269,-1752.6461502123582,-1.009264730384033,16
CRM,long,2017-11-15,2017-12-04,104.13141543151117,99.85250390168612,330.1871744452544,-1436.0620031921353,-0.9238488388693821,19
PEP,long,2017-11-29,2018-01-11,89.1387777671814,89.60483682158853,387.3610263523829,156.25457187719246,0.1382204928316598,43
DIS,long,2017-12-05,2018-01-31,102.5034334196341,102.3617612809351,338.45834412380043,-72.20654704160948,-0.04476362543067127,57
CSCO,long,2017-09-25,2018-02-05,25.641078036900947,30.764743078085672,1326.352677620378,6767.9029957394005,4.821760733851744,133
HD,long,2017-11-29,2018-02-05,143.4160891988144,154.30410460122891,240.76021481680314,2595.6578647470656,2.0441128703923335,68
AMZN,long,2018-02-01,2018-02-05,72.286125,68.47785980406444,501.4379514106225,-1933.8358375641224,-1.0126869652969552,4
ADBE,long,2018-01-11,2018-02-06,187.38363828277588,183.8300018310547,192.60232452198625,-709.2913449403544,-0.39253318937060033,26
AAPL,short,2018-02-06,2018-02-12,36.1745857096892,38.32011605185805,849.9643897343819,-1846.2415393375536,-1.0124023080350302,6
JNJ,short,2018-02-06,2018-03-09,102.7863768906116,106.34983452386197,277.5334327376792,-1009.5406757608669,-0.5535902472231611,31
CSCO,long,2018-02-16,2018-03-23,34.331382764997585,33.55584480007317,685.8445521120675,-548.0615433916653,-0.30146785501005474,35
NFLX,long,2018-01-04,2018-03-28,20.630310839653013,28.322999954223633,1270.1047030471163,9746.316452745465,5.467942634521534,83
AMZN,long,2018-03-09,2018-03-28,78.21409055328368,72.3499984741211,351.3426507343706,-2078.3054339801024,-1.0827710595851638,19
XOM,short,2018-02-06,2018-04-05,53.697022666195885,52.413693067100894,586.0761408403023,730.5507555058698,0.40060374292967976,58
TSLA,short,2018-03-28,2018-04-05,17.629846819877624,20.156989754725103,726.3660119843486,-1845.69611880928,-1.0054833378610062,8
NFLX,long,2018-04-18,2018-04-25,33.646816068649294,29.76334486774442,467.4059553714142,-1825.077177823068,-1.005464875990986,7
META,short,2018-03-26,2018-04-26,159.34034026041329,171.71208610943052,121.6902851739841,-1519.9977132474473,-0.791850051871426,31
PG,short,2018-02-05,2018-05-21,67.44709054895279,60.08573155629978,537.9141336070243,3936.7583918361747,2.7484579944000895,105
PEP,short,2018-04-20,2018-05-30,81.52441842359205,78.63364375225541,428.43133832450906,1214.7922293281495,0.6675556749300031,40
ADBE,long,2018-02-27,2018-06-25,212.09600049591063,240.14999389648438,127.57194767454911,3557.814986699172,1.9275514055043599,118
JNJ,short,2018-05-03,2018-07-05,98.10564457112885,100.1257278490227,312.5326773679564,-653.1836944015159,-0.3561069287040613,63
JPM,short,2018-06-26,2018-07-16,83.76240679228141,87.22902655807293,400.92139968102794,-1414.1834528525205,-0.7425140559969985,20
NFLX,long,2018-05-24,2018-07-17,34.451215106964106,34.69499969482422,662.1168949212338,145.34953390596354,0.07773079879666607,54
META,long,2018-06-01,2018-07-26,191.48499003166393,173.36756255605715,165.30552439528543,-3015.2713717227084,-1.5978398473712756,55
XOM,long,2018-04-27,2018-07-27,53.22144196267174,56.54119357304819,586.0143561666911,1922.4228789943256,1.0625015704749328,91
CRM,long,2018-07-12,2018-07-30,143.39212982649627,134.42511881179803,215.97135506297434,-1957.133564005967,-1.0105937512638283,18
TSLA,long,2018-08-08,2018-08-17,24.618303900718686,21.353157250626616,564.1748704916263,-1850.7307401292283,-1.004677806658399,9
GOOGL,long,2018-07-16,2018-09-05,59.69129550072417,59.670879999956966,569.858078985486,-35.43785457623648,-0.018442997476953334,51
AMZN,long,2018-09-05,2018-09-06,101.9564550704956,97.09358335061661,370.0812006849077,-1824.99012754362,-1.0140764139916731,1
TSLA,short,2018-09-06,2018-09-27,18.977174299240115,20.926000595092773,677.8658924799145,-1330.8402874874548,-0.7109409041007385,21
HD,long,2018-09-11,2018-10-02,175.86335999510234,169.13420952845664,213.7905122501499,-1464.0838906309268,-1.0176941892303866,21
V,long,2018-04-27,2018-10-08,119.39543192779341,135.58422912874784,240.4249932822208,3869.7621912683135,2.138774174253487,164
MSFT,long,2018-10-02,2018-10-08,106.99326951343214,102.40905571261698,351.78818758858887,-1638.0519390050738,-1.015737651757446,6
AAPL,long,2018-07-26,2018-10-11,45.87610164300749,50.72155450791742,817.0595082250959,3930.4094673968266,2.5393388184447456,77
JNJ,long,2018-07-30,2018-10-11,105.7362293136186,110.86020980582694,341.9618269414873,1725.843978984918,1.0574954855861056,73
PEP,short,2018-10-12,2018-10-19,82.83674000447498,86.92882449338713,435.91750537308485,-1810.1585384789812,-1.0147702152436622,7
DIS,long,2018-10-22,2018-10-24,113.21174167438151,107.50910534338476,321.8238345771776,-1859.647110443125,-1.0132967688928902,2
TSLA,short,2018-10-09,2018-10-25,17.00815807914734,21.148000717163086,540.9306828652161,-2247.1516900743004,-1.2192695942209328,16
JPM,short,2018-10-12,2018-11-08,89.39152832223317,90.5383143211712,385.52195021703113,-466.50011892921816,-0.2582481649586914,27
ADBE,short,2018-11-20,2018-11-28,209.30529866027834,239.01670616525143,66.13022758667996,-1975.6900184334481,-1.0055312274767756,8
GOOGL,short,2018-10-11,2018-12-03,53.45105909816299,56.1104575760452,484.4781816893988,-1307.3207016201727,-0.7185876899271258,53
META,short,2018-07-27,2018-12-12,178.21506135825487,144.312715522273,105.34466255264637,3560.4322366933166,1.944107214220772,138
KO,long,2018-10-25,2018-12-17,36.846002462412926,38.32753414611482,989.9734200439633,1440.263387474302,0.954528030449629,53
TSLA,long,2018-11-09,2018-12-20,23.278299745559693,21.666667938232422,559.6778649559207,-910.5732966015457,-0.49858428409057737,41
NFLX,short,2018-10-29,2019-01-04,30.51073606967926,29.573999404907227,369.8936167004075,338.80080001699844,0.1791974424901007,67
HD,short,2018-10-12,2019-01-08,158.9849529875083,148.24407468736672,211.44721457440667,2248.9596280988994,1.2449936740763077,88
