,equity
2015-11-16,152187.03522963278
2015-11-17,151997.41779394494
2015-11-18,154225.1593717854
2015-11-19,154444.9065444077
2015-11-20,156017.66711031206
2015-11-23,156462.74523341452
2015-11-24,156452.25909659936
2015-11-25,156883.8102342279
2015-11-27,157367.22385992884
2015-11-30,156557.84944464616
2015-12-01,158878.46614147653
2015-12-02,158296.8923265946
2015-12-03,156201.24451593374
2015-12-04,160096.03382661016
2015-12-07,157825.6942226145
2015-12-08,158582.2177729359
2015-12-09,155989.19105701536
2015-12-10,156003.34437912967
2015-12-11,154536.14260804898
2015-12-14,156140.2881761239
2015-12-15,156240.97083964705
2015-12-16,158248.70218031263
2015-12-17,156538.95485041977
2015-12-18,154091.01188757754
2015-12-21,154727.12288343452
2015-12-22,155624.7897267905
2015-12-23,156656.92094058087
2015-12-24,156556.13770298116
2015-12-28,156445.12242988
2015-12-29,158200.59740158927
2015-12-30,157654.2900580117
2015-12-31,156023.2186377424
2016-01-04,151723.32268623193
2016-01-05,152746.75156609254
2016-01-06,153012.76516759142
2016-01-07,153705.80126464806
2016-01-08,155069.49371148148
2016-01-11,154287.87257840755
2016-01-12,152805.43291853197
2016-01-13,155848.67473621966
2016-01-14,153319.67044379993
2016-01-15,157154.74817859396
2016-01-19,156673.68317777594
2016-01-20,159628.95969432252
2016-01-21,159444.65199956414
2016-01-22,155386.26836376183
2016-01-25,157679.71540180282
2016-01-26,156333.50853543912
2016-01-27,159667.3818682036
2016-01-28,159774.96854753667
2016-01-29,155990.91017525145
2016-02-01,156591.91763115948
2016-02-02,160980.68978502683
2016-02-03,159861.21517062205
2016-02-04,157696.22803418618
2016-02-05,163311.25584806947
2016-02-08,166338.95385665202
2016-02-09,165316.99308599188
2016-02-10,165680.14640142262
2016-02-11,163902.72597094483
2016-02-12,160513.58945499253
2016-02-16,157558.54246153866
2016-02-17,152944.63917941527
2016-02-18,155152.69899589123
2016-02-19,154953.34566370008
2016-02-22,151581.2312575283
2016-02-23,153815.25179286848
2016-02-24,153244.7633185442
2016-02-25,149571.1701613896
2016-02-26,148759.91849728167
2016-02-29,148656.23266800048
2016-03-01,147330.6858689615
2016-03-02,147390.31497603137
2016-03-03,146709.8565645062
2016-03-04,146641.7488370775
2016-03-07,147171.2359574265
2016-03-08,146582.0593647226
2016-03-09,146927.91951977045
2016-03-10,146686.22786881574
2016-03-11,147252.3785578719
2016-03-14,147018.60713973915
2016-03-15,147127.58730580626
2016-03-16,147097.40010156183
2016-03-17,148418.22105339772
2016-03-18,148794.70477397117
2016-03-21,148593.60340009452
2016-03-22,148491.0694837002
